station_name	routes	ridership_2013	ridership_2014	ridership_2015	ridership_2016	ridership_2017	ridership_2018	change_2018_raw	change_2018_percent	rank_ridership_2018
7 Av	"B,Q"	9389	9495	9641	9731	10270	10210	-60	-0.006	157
Prospect Park	"B,Q"	9761	9715	10033	9995	10234	10059	-175	-0.017	159
Parkside Av	"B,Q"	4240	4969	5266	5524	5898	6050	152	0.026	251
Sheepshead Bay	"B,Q"	14010	14118	14304	14477	14311	13946	-365	-0.026	109
Neck Rd	"B,Q"	3941	4033	4207	4354	4441	4405	-36	-0.008	315
Newkirk Plaza	"B,Q"	10788	10707	10864	10842	10728	10534	-194	-0.018	149
Brighton Beach	"B,Q"	12185	12498	12794	13035	12587	12065	-522	-0.041	128
Kings Hwy	"B,Q"	18799	19010	19500	20094	19975	19569	-406	-0.02	72
Spring St	"C,E"	13136	13319	12914	12775	12360	13054	694	0.056	117
23 St	"C,E"	24782	25620	25731	24569	24161	24397	236	0.01	50
50 St	"C,E"	19406	20993	20828	20921	20502	19757	-745	-0.036	69
75 Av	"E,F"	3763	3742	3756	3710	3365	3455	90	0.027	343
Kew Gardens - Union Tpke	"E,F"	28289	27693	27558	27085	26493	25536	-957	-0.036	45
Briarwood - Van Wyck Blvd	"E,F"	4664	4695	4876	5057	5061	4913	-148	-0.029	287
Fort Hamilton Pkwy	"F,G"	5531	5650	5783	6044	5893	5807	-86	-0.015	260
Church Av	"F,G"	9984	9954	10490	10151	9697	9492	-205	-0.021	165
7 Av	"F,G"	12268	12242	12049	11897	11801	11636	-165	-0.014	131
Smith - 9 Sts	"F,G"	2854	4762	5084	4861	4714	4689	-25	-0.005	300
Carroll St	"F,G"	12339	11744	11923	11848	11723	11562	-161	-0.014	132
Bergen St	"F,G"	11562	11570	11548	11529	11306	11174	-132	-0.012	137
15 St - Prospect Park	"F,G"	6448	6495	6385	6342	6272	6136	-136	-0.022	247
W 8 St - NY Aquarium	"F,Q"	2069	2262	2397	2421	2404	2469	65	0.027	383
Lexington Av/63 St	"F,Q"	15404	15493	16098	16988	20893	21394	501	0.024	61
Lorimer St	"J,M"	4796	4836	5070	5138	5161	4837	-324	-0.063	293
Hewes St	"J,M"	2859	2859	2992	2866	2861	2782	-79	-0.028	374
Flushing Av	"J,M"	9165	9258	9483	9347	8952	8336	-616	-0.069	183
Norwood Av	"J,Z"	3492	3603	3639	3613	3437	3190	-247	-0.072	360
104 St	"J,Z"	2575	2659	2710	2758	1727	1587	-140	-0.081	409
121 St	"J,Z"	2222	2397	2462	2500	1135	1354	219	0.193	412
Gates Av	"J,Z"	5999	6277	6521	6602	7110	7255	145	0.02	207
Bowery	"J,Z"	2743	3015	3325	3504	3715	3738	23	0.006	333
Chauncey St	"J,Z"	2967	3050	3200	3360	3408	3387	-21	-0.006	347
Woodhaven Blvd	"J,Z"	4576	4796	4940	4838	5104	4771	-333	-0.065	294
Van Siclen Av	"J,Z"	2883	2940	3004	3067	2900	2678	-222	-0.077	376
75 St	"J,Z"	3759	3777	3837	3837	3641	3464	-177	-0.049	342
Crescent St	"J,Z"	4683	4925	5073	5053	4842	4539	-303	-0.063	308
Broad St	"J,Z"	5635	6525	6865	7279	7130	7050	-80	-0.011	216
67 Av	"M,R"	9475	9544	9548	9479	9181	8774	-407	-0.044	176
63 Dr - Rego Park	"M,R"	16334	16771	16770	16868	16323	15574	-749	-0.046	92
65 St	"M,R"	3532	3647	3762	3747	3621	3601	-20	-0.006	337
Elmhurst Av	"M,R"	13597	13568	13588	13508	12967	12463	-504	-0.039	125
36 St	"M,R"	4540	4597	4733	4776	4786	5177	391	0.082	281
Grand Av - Newtown	"M,R"	18298	18413	18955	19373	18754	18489	-265	-0.014	75
Woodhaven Blvd	"M,R"	22276	22156	22220	22483	21879	20704	-1175	-0.054	66
Steinway St	"M,R"	14769	14870	14895	14836	14867	15590	723	0.049	91
Northern Blvd	"M,R"	7235	7431	7428	7413	7107	6904	-203	-0.029	224
46 St	"M,R"	9529	9608	9439	9362	9049	8752	-297	-0.033	177
30 Av	"N,W"	14802	14897	14771	14739	11381	8286	-3095	-0.272	184
36 Av	"N,W"	7688	7577	7447	7347	5525	5073	-452	-0.082	285
39 Av	"N,W"	3262	3504	3391	3207	3267	2356	-911	-0.279	387
Astoria - Ditmars Blvd	"N,W"	17039	17178	17181	17345	16686	15663	-1023	-0.061	89
Broadway	"N,W"	13280	13515	13236	12957	13242	8473	-4769	-0.36	179
Astoria Blvd	"N,W"	12210	12209	12344	12358	13103	14425	1322	0.101	104
8 St - NYU	"R,W"	16597	17248	17902	18305	16994	17192	198	0.012	80
City Hall	"R,W"	5666	4344	6310	6766	7731	6657	-1074	-0.139	230
28 St	"R,W"	11607	12407	13271	13680	13256	14302	1046	0.079	107
23 St	"R,W"	22760	24060	25973	26693	25007	26381	1374	0.055	40
Prince St	"R,W"	15261	15404	15597	15424	14400	14408	8	0.001	105
Rector St	"R,W"	5362	4127	6157	6524	7092	7185	93	0.013	212
34 St - Penn Station	"1,2,3"	90042	92693	92176	90524	85585	85180	-405	-0.005	6
72 St	"1,2,3"	40853	40639	40506	40450	38957	39477	520	0.013	23
96 St	"1,2,3"	38711	39254	39434	38859	37043	36026	-1017	-0.027	27
Chambers St	"1,2,3"	23147	23862	23997	23574	22419	21303	-1116	-0.05	62
86 St	"4,5,6"	64741	65634	65948	64793	45882	43169	-2713	-0.059	20
125 St	"4,5,6"	29425	30168	30277	30024	29065	27605	-1460	-0.05	37
Canal St	"A,C,E"	19738	19974	20103	19660	19789	20424	635	0.032	67
34 St - Penn Station	"A,C,E"	83717	85634	84778	82584	78904	80346	1442	0.018	7
