station_id,complex_id,gtfs_stop_id,division,line,station_name,borough_name,daytime_routes,structure,north_direction_label,south_direction_label,station_lat,station_lon
46,46,D30,BMT,Broadway - Brighton,Cortelyou Rd,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.640927,-73.963891
47,47,D31,BMT,Broadway - Brighton,Newkirk Plaza,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.635082,-73.962793
48,48,D32,BMT,Broadway - Brighton,Avenue H,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.62927,-73.961639
49,49,D33,BMT,Broadway - Brighton,Avenue J,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.625039,-73.960803
50,50,D34,BMT,Broadway - Brighton,Avenue M,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.617618,-73.959399
51,51,D35,BMT,Broadway - Brighton,Kings Hwy,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.60867,-73.957734
52,52,D37,BMT,Broadway - Brighton,Avenue U,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.5993,-73.955929
53,53,D38,BMT,Broadway - Brighton,Neck Rd,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.595246,-73.955161
54,54,D39,BMT,Broadway - Brighton,Sheepshead Bay,Brooklyn,B Q,Open Cut,Manhattan,Brighton Beach & Coney Island,40.586896,-73.954155
55,55,D40,BMT,Broadway - Brighton,Brighton Beach,Brooklyn,B Q,Elevated,Manhattan,Coney Island,40.577621,-73.961376
56,56,D41,BMT,Broadway - Brighton,Ocean Pkwy,Brooklyn,Q,Elevated,Manhattan,Stillwell Av,40.576312,-73.968501
57,57,D42,BMT,Broadway - Brighton,W 8 St - NY Aquarium,Brooklyn,F Q,Elevated,Manhattan,Stillwell Av,40.576127,-73.975939
58,58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Brooklyn,D F N Q,Viaduct,Manhattan,,40.577422,-73.981233
59,59,B12,BMT,West End,9 Av,Brooklyn,D,Open Cut,Manhattan,Coney Island,40.646292,-73.994324
60,60,B13,BMT,West End,Fort Hamilton Pkwy,Brooklyn,D,Elevated,Manhattan,Coney Island,40.640914,-73.994304
61,61,B14,BMT,West End,50 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.63626,-73.994791
62,62,B15,BMT,West End,55 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.631435,-73.995476
63,615,B16,BMT,West End,62 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.626472,-73.996895
64,64,B17,BMT,West End,71 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.619589,-73.998864
65,65,B18,BMT,West End,79 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.613501,-74.00061
66,66,B19,BMT,West End,18 Av,Brooklyn,D,Elevated,Manhattan,Coney Island,40.607954,-74.001736
67,67,B20,BMT,West End,20 Av,Brooklyn,D,Elevated,Manhattan,Coney Island,40.604556,-73.998168
68,68,B21,BMT,West End,Bay Pkwy,Brooklyn,D,Elevated,Manhattan,Coney Island,40.601875,-73.993728
69,69,B22,BMT,West End,25 Av,Brooklyn,D,Elevated,Manhattan,Coney Island,40.597704,-73.986829
70,70,B23,BMT,West End,Bay 50 St,Brooklyn,D,Elevated,Manhattan,Coney Island,40.588841,-73.983765
71,71,N02,BMT,Sea Beach,8 Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.635064,-74.011719
72,72,N03,BMT,Sea Beach,Fort Hamilton Pkwy,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.631386,-74.005351
73,615,N04,BMT,Sea Beach,New Utrecht Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.624842,-73.996353
74,74,N05,BMT,Sea Beach,18 Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.620671,-73.990414
75,75,N06,BMT,Sea Beach,20 Av,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.61741,-73.985026
76,76,N07,BMT,Sea Beach,Bay Pkwy,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.611815,-73.981848
77,77,N08,BMT,Sea Beach,Kings Hwy,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.603923,-73.980353
78,78,N09,BMT,Sea Beach,Avenue U,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.597473,-73.979137
79,79,N10,BMT,Sea Beach,86 St,Brooklyn,N,Open Cut,Manhattan,Coney Island,40.592721,-73.97823
80,80,J12,BMT,Jamaica,121 St,Queens,J Z,Elevated,Jamaica,Manhattan,40.700492,-73.828294
81,81,J13,BMT,Jamaica,111 St,Queens,J,Elevated,Jamaica,Manhattan,40.697418,-73.836345
82,82,J14,BMT,Jamaica,104 St,Queens,J Z,Elevated,Jamaica,Manhattan,40.695178,-73.84433
83,83,J15,BMT,Jamaica,Woodhaven Blvd,Queens,J Z,Elevated,Jamaica,Manhattan,40.693879,-73.851576
84,84,J16,BMT,Jamaica,85 St - Forest Pkwy,Queens,J,Elevated,Jamaica,Manhattan,40.692435,-73.86001
85,85,J17,BMT,Jamaica,75 St,Queens,J Z,Elevated,Jamaica,Manhattan,40.691324,-73.867139
86,86,J19,BMT,Jamaica,Cypress Hills,Brooklyn,J,Elevated,Jamaica,Manhattan,40.689941,-73.87255
87,87,J20,BMT,Jamaica,Crescent St,Brooklyn,J Z,Elevated,Jamaica,Manhattan,40.683194,-73.873785
88,88,J21,BMT,Jamaica,Norwood Av,Brooklyn,J Z,Elevated,Jamaica,Manhattan,40.68141,-73.880039
89,89,J22,BMT,Jamaica,Cleveland St,Brooklyn,J,Elevated,Jamaica,Manhattan,40.679947,-73.884639
90,90,J23,BMT,Jamaica,Van Siclen Av,Brooklyn,J Z,Elevated,Jamaica,Manhattan,40.678024,-73.891688
91,91,J24,BMT,Jamaica,Alabama Av,Brooklyn,J,Elevated,Jamaica,Manhattan,40.676992,-73.898654
92,621,J27,BMT,Jamaica,Broadway Jct,Brooklyn,J Z,Elevated,Jamaica,Manhattan,40.679498,-73.904512
93,93,J28,BMT,Jamaica,Chauncey St,Brooklyn,J Z,Elevated,Jamaica,Manhattan,40.682893,-73.910456
94,94,J29,BMT,Jamaica,Halsey St,Brooklyn,J,Elevated,Jamaica,Manhattan,40.68637,-73.916559
95,95,J30,BMT,Jamaica,Gates Av,Brooklyn,J Z,Elevated,Jamaica,Manhattan,40.68963,-73.92227
96,96,J31,BMT,Jamaica,Kosciuszko St,Brooklyn,J,Elevated,Jamaica,Manhattan,40.693342,-73.928814
97,97,M11,BMT,Jamaica,Myrtle Av,Brooklyn,J M Z,Elevated,Jamaica - Middle Village,Manhattan,40.697207,-73.935657
98,98,M12,BMT,Jamaica,Flushing Av,Brooklyn,J M,Elevated,Jamaica - Middle Village,Manhattan,40.70026,-73.941126
99,99,M13,BMT,Jamaica,Lorimer St,Brooklyn,J M,Elevated,Jamaica - Middle Village,Manhattan,40.703869,-73.947408
100,100,M14,BMT,Jamaica,Hewes St,Brooklyn,J M,Elevated,Jamaica - Middle Village,Manhattan,40.70687,-73.953431
101,101,M16,BMT,Jamaica,Marcy Av,Brooklyn,J M Z,Elevated,Jamaica - Middle Village,Manhattan,40.708359,-73.957757
102,625,M18,BMT,Jamaica,Essex St,Manhattan,J M Z,Subway,Brooklyn,Broad St (JZ) - Uptown (M),40.718315,-73.987437
103,103,M19,BMT,Jamaica,Bowery,Manhattan,J Z,Subway,Brooklyn,Broad St,40.72028,-73.993915
104,623,M20,BMT,Jamaica,Canal St,Manhattan,J Z,Subway,Brooklyn,Broad St,40.718092,-73.999892
105,622,M21,BMT,Jamaica,Chambers St,Manhattan,J Z,Subway,Brooklyn,Broad St,40.713243,-74.003401
106,628,M22,BMT,Jamaica,Fulton St,Manhattan,J Z,Subway,Brooklyn,Broad St,40.710374,-74.007582
107,107,M23,BMT,Jamaica,Broad St,Manhattan,J Z,Subway,Brooklyn,,40.706476,-74.011056
108,108,M01,BMT,Myrtle Av,Middle Village - Metropolitan Av,Queens,M,Elevated,Manhattan,,40.711396,-73.889601
109,109,M04,BMT,Myrtle Av,Fresh Pond Rd,Queens,M,Elevated,Manhattan,Metropolitan Av,40.706186,-73.895877
110,110,M05,BMT,Myrtle Av,Forest Av,Queens,M,Elevated,Manhattan,Metropolitan Av,40.704423,-73.903077
111,111,M06,BMT,Myrtle Av,Seneca Av,Queens,M,Elevated,Manhattan,Metropolitan Av,40.702762,-73.90774
112,630,M08,BMT,Myrtle Av,Myrtle - Wyckoff Avs,Brooklyn,M,Elevated,Manhattan,Metropolitan Av,40.69943,-73.912385
113,113,M09,BMT,Myrtle Av,Knickerbocker Av,Brooklyn,M,Elevated,Manhattan,Metropolitan Av,40.698664,-73.919711
114,114,M10,BMT,Myrtle Av,Central Av,Brooklyn,M,Elevated,Manhattan,Metropolitan Av,40.697857,-73.927397
115,618,L01,BMT,Canarsie,8 Av,Manhattan,L,Subway,,Brooklyn,40.739777,-74.002578
116,601,L02,BMT,Canarsie,6 Av,Manhattan,L,Subway,8 Av,Brooklyn,40.737335,-73.996786
117,602,L03,BMT,Canarsie,Union Sq - 14 St,Manhattan,L,Subway,8 Av,Brooklyn,40.734789,-73.99073
118,118,L05,BMT,Canarsie,3 Av,Manhattan,L,Subway,8 Av,Brooklyn,40.732849,-73.986122
119,119,L06,BMT,Canarsie,1 Av,Manhattan,L,Subway,8 Av,Brooklyn,40.730953,-73.981628
120,120,L08,BMT,Canarsie,Bedford Av,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.717304,-73.956872
121,629,L10,BMT,Canarsie,Lorimer St,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.714063,-73.950275
122,122,L11,BMT,Canarsie,Graham Av,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.714565,-73.944053
123,123,L12,BMT,Canarsie,Grand St,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.711926,-73.94067
124,124,L13,BMT,Canarsie,Montrose Av,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.707739,-73.93985
125,125,L14,BMT,Canarsie,Morgan Av,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.706152,-73.933147
126,126,L15,BMT,Canarsie,Jefferson St,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.706607,-73.922913
127,127,L16,BMT,Canarsie,DeKalb Av,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.703811,-73.918425
128,630,L17,BMT,Canarsie,Myrtle - Wyckoff Avs,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.699814,-73.911586
129,129,L19,BMT,Canarsie,Halsey St,Queens,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.695602,-73.904084
130,130,L20,BMT,Canarsie,Wilson Av,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.688764,-73.904046
131,131,L21,BMT,Canarsie,Bushwick Av - Aberdeen St,Brooklyn,L,Subway,Manhattan,Canarsie - Rockaway Parkway,40.682829,-73.905249
132,621,L22,BMT,Canarsie,Broadway Jct,Brooklyn,L,Elevated,Manhattan,Canarsie - Rockaway Parkway,40.678856,-73.90324
133,133,L24,BMT,Canarsie,Atlantic Av,Brooklyn,L,Elevated,Manhattan,Canarsie - Rockaway Parkway,40.675345,-73.903097
134,134,L25,BMT,Canarsie,Sutter Av,Brooklyn,L,Elevated,Manhattan,Canarsie - Rockaway Parkway,40.669367,-73.901975
135,135,L26,BMT,Canarsie,Livonia Av,Brooklyn,L,Elevated,Manhattan,Canarsie - Rockaway Parkway,40.664038,-73.900571
136,136,L27,BMT,Canarsie,New Lots Av,Brooklyn,L,Elevated,Manhattan,Canarsie - Rockaway Parkway,40.658733,-73.899232
137,137,L28,BMT,Canarsie,E 105 St,Brooklyn,L,At Grade,Manhattan,Canarsie - Rockaway Parkway,40.650573,-73.899485
138,138,L29,BMT,Canarsie,Canarsie - Rockaway Pkwy,Brooklyn,L,At Grade,Manhattan,,40.646654,-73.90185
139,627,S01,BMT,Franklin Shuttle,Franklin Av,Brooklyn,S,Elevated,,Prospect Park,40.680596,-73.955827
141,141,S03,BMT,Franklin Shuttle,Park Pl,Brooklyn,S,Open Cut,Franklin Av,Prospect Park,40.674772,-73.957624
142,626,S04,BMT,Franklin Shuttle,Botanic Garden,Brooklyn,S,Open Cut,Franklin Av,Prospect Park,40.670343,-73.959245
143,143,A02,IND,8th Av - Fulton St,Inwood - 207 St,Manhattan,A,Subway,,Downtown & Brooklyn,40.868072,-73.919899
144,144,A03,IND,8th Av - Fulton St,Dyckman St,Manhattan,A,Subway,207 St,Downtown & Brooklyn,40.865491,-73.927271
145,145,A05,IND,8th Av - Fulton St,190 St,Manhattan,A,Subway,207 St,Downtown & Brooklyn,40.859022,-73.93418
146,146,A06,IND,8th Av - Fulton St,181 St,Manhattan,A,Subway,207 St,Downtown & Brooklyn,40.851695,-73.937969
147,147,A07,IND,8th Av - Fulton St,175 St,Manhattan,A,Subway,207 St,Downtown & Brooklyn,40.847391,-73.939704
148,605,A09,IND,8th Av - Fulton St,168 St,Manhattan,A C,Subway,207 St,Downtown & Brooklyn,40.840719,-73.939561
149,149,A10,IND,8th Av - Fulton St,163 St - Amsterdam Av,Manhattan,C,Subway,Uptown,Downtown & Brooklyn,40.836013,-73.939892
150,150,A11,IND,8th Av - Fulton St,155 St,Manhattan,C,Subway,Uptown,Downtown & Brooklyn,40.830518,-73.941514
151,151,D13,IND,Concourse,145 St,Manhattan,B D,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.824783,-73.944216
151,151,A12,IND,8th Av - Fulton St,145 St,Manhattan,A C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.824783,-73.944216
152,152,A14,IND,8th Av - Fulton St,135 St,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.817894,-73.947649
153,153,A15,IND,8th Av - Fulton St,125 St,Manhattan,A B C D,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.811109,-73.952343
154,154,A16,IND,8th Av - Fulton St,116 St,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.805085,-73.954882
155,155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.800603,-73.958161
156,156,A18,IND,8th Av - Fulton St,103 St,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.796092,-73.961454
157,157,A19,IND,8th Av - Fulton St,96 St,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.791642,-73.964696
158,158,A20,IND,8th Av - Fulton St,86 St,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.785868,-73.968916
159,159,A21,IND,8th Av - Fulton St,81 St - Museum of Natural History,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.781433,-73.972143
160,160,A22,IND,8th Av - Fulton St,72 St,Manhattan,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.775594,-73.97641
161,614,A24,IND,8th Av - Fulton St,59 St - Columbus Circle,Manhattan,A B C D,Subway,Uptown & The Bronx,Downtown & Brooklyn,40.768296,-73.981736
162,162,A25,IND,8th Av - Fulton St,50 St,Manhattan,C E,Subway,Uptown - Queens,Downtown & Brooklyn,40.762456,-73.985984
